Employer,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
McDonald‰Ûªs Corp.,"Oak Brook, IL",F,F,F,F,F,F,F,F,F,,100,100,110
"McGraw-Hill Global Education Holdings, LLC","New York, NY",F,F,F,F,F,F,,F,F,,90,,
McGuireWoods LLP,"Richmond, VA",F,F,F,F,F,,F,F,P,,85,85,
McKesson Corp.,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,11
McKinsey & Co. Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Mediavest | Spark,"New York, NY",F,F,F,F,F,F,F,F,F,,100,,
Medtronic PLC,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,100,
Meijer Inc.,"Grand Rapids, MI",F,F,F,F,F,F,F,F,P,,95,85,
Merck & Co. Inc.,"Kenilworth, NJ",F,F,F,F,F,F,F,F,F,,100,100,71
Mesirow Financial Holdings Inc.,"Chicago, IL",F,F,F,F,F,,,F,F,,80,,
MetLife Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,39
MGM Resorts International,"Las Vegas, NV",F,F,F,F,F,F,F,F,F,,100,100,289
Michael Best & Friedrich LLP,"Milwaukee, WI",F,F,F,F,F,F,F,F,F,,100,90,
Micron Technology Inc.,"Boise, ID",P,P,,F,F,,,,,,40,20,190
Microsoft Corp.,"Redmond, WA",F,F,F,F,F,F,F,F,F,,100,100,31
"Milbank, Tweed, Hadley & McCloy LLP","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
MillerCoors LLC,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
"Mintz, Levin, Cohn, Ferris, Glovsky & Popeo PC","Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Mitchell Gold + Bob Williams,"Taylorsville, NC",F,F,F,F,F,F,F,F,F,,100,100,
Mohawk Industries Inc.,"Calhoun, GA",P,P,,F,P,,,,,,35,15,362
Molina Healthcare Inc.,"Long Beach, CA",F,F,F,F,F,,,P,,,60,60,301
Mondelez International Inc.,"East Hanover, NJ",F,F,F,F,F,F,F,F,F,,100,100,91
Monsanto Co.,"St. Louis, MO",F,F,F,F,F,F,F,F,F,,100,100,197
Moody‰Ûªs Corp.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,699
Moore & Van Allen PLLC,"Charlotte, NC",F,F,F,F,F,F,F,F,F,,100,85,
Morgan Stanley,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,82
"Morgan, Lewis & Bockius LLP","Philadelphia, PA",F,F,F,F,F,F,F,F,F,,100,100,
Morningstar Inc.,"Chicago, IL",F,F,F,F,F,F,,F,F,,90,85,
"Morris, Manning & Martin LLP","Atlanta, GA",F,F,F,F,F,,,F,F,,80,,
Morrison & Foerster LLP,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,
Mosaic Co.,"Plymouth, MN",F,F,F,F,F,F,,P,F,,85,85,320
Motorola Solutions Inc.,"Schaumburg, IL",F,F,,F,F,,F,F,P,,75,80,363
MRC Global,"Houston, TX",P,,,,,,,,,,10,10,448
MSLGROUP Americas,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
"Munger, Tolles & Olson LLP","Los Angeles, CA",F,F,F,F,F,F,F,F,F,,100,100,
Murphy Oil,"El Dorado, AR",P,,,,,,,,,,10,10,350
Murphy USA,"El Dorado, AR",,,,,,,,,,,0,0,202
Mutual of Omaha Insurance,"Omaha, NE",F,F,F,F,F,F,F,F,P,,95,70,391
"NASDAQ OMX Group Inc., The","New York, NY",F,F,F,F,F,,,F,P,,75,85,680
National Grid USA,"Waltham, MA",F,F,F,F,F,F,F,F,F,,100,80,
National Oilwell Varco Inc.,"Houston, TX",P,,,,,,,,,,10,10,127
Nationwide,"Columbus, OH",F,F,F,F,F,F,F,F,F,,100,100,85
Navient,"Wilmington, DE",F,F,F,F,F,F,F,P,P,,90,,463
Navigant Consulting Inc.,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Navistar International Corp.,"Lisle, IL",P,P,,,,,,F,,,30,30,276
NCR Corp.,"Duluth, GA",F,F,F,F,F,F,F,F,F,,100,100,412
Nelson Mullins Riley & Scarborough LLP,"Columbia, SC",F,F,F,F,F,,F,F,P,,85,85,
NestlÌ© Purina PetCare Co.,"St. Louis, MO",F,F,F,F,F,F,F,F,F,,100,100,
NestlÌ© USA Inc.,"Glendale, CA",F,F,F,F,F,F,F,F,P,,90,20,
NetApp Inc.,"Sunnyvale, CA",F,F,F,F,F,F,F,F,P,,95,95,428
Netflix Inc.,"Los Gatos, CA",F,F,F,F,F,F,F,F,F,,100,90,474
New York Life Insurance Co.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,80
New York Times Co.,"New York, NY",F,F,F,F,F,,F,F,P,,85,85,
Newmont Mining Corporation,"Greenwood Village, CO",F,F,F,F,F,F,F,F,F,,100,80,379
News Corp.,"New York, NY",,,,,,,,,,,0,,331
NextEra Energy Inc.,"Juno Beach, FL",P,P,F,F,F,,F,F,P,,70,60,183
NGL Energy Partners,"Tulsa, OK",P,P,,,,,,,,,20,,299
Nielsen,"New York City, NY",F,F,F,F,F,F,F,F,F,,100,100,
Nike Inc.,"Beaverton, OR",F,F,F,F,F,F,F,F,F,,100,100,106
NiSource Inc.,"Merrillville, IN",F,F,F,F,F,,,F,P,,75,75,418
Nissan North America Inc.,"Franklin, TN",F,F,F,F,F,F,F,F,F,,100,100,
Nixon Peabody LLP,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Nordstrom Inc.,"Seattle, WA",F,F,F,F,F,F,F,F,F,,100,100,224
Norfolk Southern Corp.,"Norfolk, VA",F,F,F,F,F,,F,F,P,,80,45,256
Nortel Networks Corp.,"Richardson, TX",P,,F,F,P,,,F,P,,45,45,
Northern Trust Corp.,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,571
Northrop Grumman Corp.,"Falls Church, VA",F,F,F,F,F,F,F,F,F,,100,100,124
Northwestern Mutual Life Insurance,"Milwaukee, WI",F,F,F,F,F,F,F,F,F,,100,100,109
Norton Rose Fulbright,"Houston, TX",F,F,F,F,F,F,F,F,F,,100,100,
Novartis Pharmaceuticals Corp.,"East Hanover, NJ",F,F,F,F,F,F,F,F,F,,100,100,
Novo Nordisk Inc.,"Plainsboro, NJ",F,F,F,F,F,,F,F,F,,90,,
NRG Energy Inc.,"Princeton, NJ",F,F,,F,F,,F,P,P,,70,65,196
Nucor Corp.,"Charlotte, NC",P,,,,,,,,,,10,10,139
NVIDIA Corp.,"Santa Clara, CA",F,F,F,F,F,F,F,F,F,,100,100,553
NYSE Euronext Inc.,"New York, NY",P,,F,F,F,,,F,P,,55,40,
Occidental Petroleum,"Los Angeles, CA",P,P,,,,,,,,,20,20,115
Ocean Spray Cranberries Inc.,"Lakeville-Middleboro, MA",F,F,F,F,F,F,,F,P,,85,,
Office Depot Inc.,"Boca Raton, FL",F,F,F,F,F,F,F,F,F,,100,100,194
"Ogilvy Group Inc., The","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
"Ogletree, Deakins, Nash, Smoak & Stewart","Greenville, SC",F,F,F,F,F,F,F,F,F,,100,85,
Old Republic International,"Chicago, IL",,,,,,,,,,,0,0,472
O‰ÛªMelveny & Myers LLP,"Los Angeles, CA",F,F,F,F,F,F,F,F,F,,100,100,
Omnicare,"Cincinnati, OH",P,P,,,,,,,,,20,20,414
Omnicom Group,"New York, NY",F,F,F,F,F,F,F,F,F,,100,85,200
ONE Gas Inc.,"Tulsa, OK",F,F,F,F,F,,,P,P,,70,70,
ONEOK Inc.,"Tulsa, OK",F,F,F,F,F,,F,F,P,,85,85,237
OppenheimerFunds Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,60,
Optimedia International US Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,,
Oracle Corp.,"Redwood City, CA",F,F,F,F,F,F,F,F,F,,100,100,81
"Orbital ATK, Inc.","Dulles, VA",P,P,,F,P,,,,,,35,35,539
O‰ÛªReilly Automotive Inc.,"Springfield, MO",P,,,,,,,,,,10,10,381
"Orrick, Herrington & Sutcliffe LLP","San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,
Oshkosh Corp.,"Oshkosh, WI",P,P,,,,,,,,,20,10,394
Outerwall Inc.,"Bellevue, WA",F,F,F,F,F,F,F,F,F,,100,100,924
Overstock.com Inc.,"Salt Lake City, UT",F,F,F,F,F,,,F,F,,80,80,
Owens & Minor Inc.,"Mechanicsville, VA",F,F,F,F,F,,F,F,P,,80,85,309
Owens Corning,"Toledo, OH",F,F,F,F,F,F,F,F,F,,100,100,498
Owens-Illinois Inc.,"Perrysburg, OH",P,P,,,,,,,,,20,10,399
Paccar Inc.,"Bellevue, WA",P,P,,,,,,,,,20,20,158
Pacific Investment Management Co. LLC,"Newport Beach, CA",F,F,F,F,F,F,F,F,F,,100,,
Pacific Life Insurance Co.,"Newport Beach, CA",F,F,F,F,F,,F,P,P,,80,70,387
Pacific Medical Centers,"Seattle, WA",F,,F,F,F,,F,P,P,,60,60,
Packaging Corporation of America,"Lake Forest, IL",,,,,,,,,,,0,,451
Palm Management Corp.,"Washington, DC",F,,F,F,P,,F,P,P,,55,55,
Pandora Media Inc.,"Oakland, CA",F,F,F,F,F,F,F,F,F,,100,,
Parker Hannifin Corp.,"Cleveland, OH",P,P,,,,,,,,,20,20,230
Patterson Belknap Webb & Tyler LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Patterson Companies (Patterson Dental Supply),"St. Paul, MN",F,F,F,F,F,,,P,,,60,40,617
Patton Boggs LLP,"Washington, DC",F,F,F,F,F,,F,F,P,,85,85,
Paul Hastings LLP,"Los Angeles, CA",F,F,F,F,F,F,F,F,F,,100,100,
"Paul, Weiss, Rifkind, Wharton & Garrison LLP","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
PayPal Holdings Inc.,"San Jose, CA",F,F,F,F,F,F,F,F,F,,100,100,
PBF Energy,"Parsippany, NJ",,,,,,,,,,,0,0,149
Peabody Energy Corp.,"St. Louis, MO",P,,,,,,,,,,10,10,398
Pearson Inc.,"Hoboken, NJ",F,F,F,F,F,F,F,F,F,,100,100,
Penske Automotive Group Inc.,"Bloomfield Hills, MI",,,,,,,,,,,0,0,177
"Pep Boys-Manny, Moe & Jack","Philadelphia, PA",P,P,,F,F,,,P,,,45,45,989
Pepco Holdings Inc.,"Washington, DC",F,F,F,F,F,,F,F,P,,85,80,527
Pepper Hamilton LLP,"Philadelphia, PA",F,F,F,F,F,F,F,F,F,,100,100,
PepsiCo Inc.,"Purchase, NY",F,F,F,F,F,F,F,F,F,,100,100,44
Perkins + Will Inc.,"Chicago, IL",P,,,F,P,,,F,,,35,35,
Perkins Coie LLP,"Seattle, WA",F,F,F,F,F,F,F,F,F,,100,100,
Pernod Ricard USA LLC,"New York, NY",F,F,F,F,F,F,F,F,F,,100,85,
Peter Kiewit Sons‰Ûª Inc.,"Omaha, NE",P,P,,,,,,,,,20,10,286
PetSmart Inc.,"Phoenix, AZ",F,F,F,F,F,F,F,F,F,,100,75,386
Pfizer Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,56
PG&E Corp.,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,182
Philip Morris International Inc.,"New York, NY",P,,,,,,,,,,10,10,102
Phillips 66,"Houston, TX",F,F,F,F,F,,,F,P,,75,20,7
Pillsbury Winthrop Shaw Pittman LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Pinnacle West Capital,"Phoenix, AZ",F,F,F,F,F,F,,F,F,,90,50,683
Pioneer Natural Resources Company,"Irving, TX",,,,,,,,,,,0,,496
Pitney Bowes Inc.,"Stamford, CT",P,P,F,F,F,F,F,,P,,70,70,636
Plains GP Holdings,"Houston, TX",,,,,,,,,,,0,0,67
"PNC Financial Services Group Inc., The","Pittsburgh, PA",F,F,F,F,F,F,F,F,F,,100,100,192
PNM Resources Inc.,"Albuquerque, NM",F,F,F,F,F,,,P,P,,65,65,
Polsinelli,"Kansas City, MO",F,F,F,F,F,,F,F,P,,85,85,
Portland General Electric Co.,"Portland, OR",F,F,F,F,F,F,F,F,F,,100,100,
PPG Industries Inc.,"Pittsburgh, PA",F,F,F,F,F,,,F,P,,75,75,198
PPL Corp.,"Allentown, PA",F,F,F,F,F,F,F,F,F,,100,95,257
Praxair Inc.,"Danbury, CT",F,F,F,F,F,F,F,F,F,,100,95,249
Precision Castparts Corp.,"Portland, OR",P,P,,,,,,,,,20,20,302
priceline.com LLC,"Norwalk, CT",F,F,F,F,F,F,,P,P,,80,70,339
PricewaterhouseCoopers LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Principal Financial Group,"Des Moines, IA",F,F,F,F,F,F,F,F,F,,100,100,282
Procter & Gamble Co.,"Cincinnati, OH",F,F,F,F,F,F,F,F,F,,100,100,32
"Progressive Corp., The","Mayfield Village, OH",F,F,,F,F,F,F,F,P,,90,90,153
Proskauer Rose LLP,"New York, NY",F,F,F,F,F,,F,F,P,,85,85,
Prudential Financial Inc.,"Newark, NJ",F,F,F,F,F,F,F,F,F,,100,100,55
Public Service Enterprise Group,"Newark, NJ",F,F,F,F,F,,F,F,F,,90,80,274
Publicis Healthcare Communications,"New York, NY",F,F,F,F,F,F,F,F,F,,100,90,
Publicis Inc.,"New York, NY",F,F,F,F,F,F,F,F,P,,95,95,
Publix Super Markets Inc.,"Lakeland, FL",P,,,,,,,,,,10,20,101
PulteGroup Inc.,"Atlanta, GA",P,,,,,,,,,,10,10,453
PVH Corp.,"New York, NY",F,F,F,F,F,F,,F,P,,85,85,351
Quaintance-Weaver Inc.,"Greensboro, NC",F,,F,F,F,,,F,P,,60,60,
QUALCOMM Inc.,"San Diego, CA",F,F,F,F,F,F,F,F,F,,100,100,113
Quanta Services,"Houston, TX",P,,,,,,,,,,10,10,361
Quantcast Corp,"San Francisco, CA",F,F,F,F,F,F,,F,,,75,,
Quarles & Brady LLP,"Milwaukee, WI",F,F,F,F,F,F,F,F,F,,100,100,
Quest Diagnostics Inc.,"Madison, NJ",F,F,F,F,F,F,F,F,F,,100,90,375
Quinn Emanuel Urquhart & Sullivan LLP,"London, CA",F,F,F,F,F,F,F,F,F,,100,95,
Quintiles Transnational,"Durham, NC",P,P,,,,,,,,,20,20,476
R.R. Donnelley & Sons Co.,"Chicago, IL",F,F,F,F,F,,F,F,F,,90,90,258
RadioShack Corp.,"Fort Worth, TX",F,,,F,F,,,P,,,40,40,761
Ralph Lauren Corp.,"New York, NY",F,F,F,F,F,,F,F,F,,90,90,374
Raymond James Financial Inc.,"St. Petersburg, FL",F,F,F,F,F,,F,F,P,,85,85,521
Raytheon Co.,"Waltham, MA",F,F,F,F,F,F,F,F,F,,100,100,129
Razorfish,"Seattle, WA",F,F,F,F,F,F,F,F,F,,100,100,
RB,"Parsippany, NJ",F,,F,F,P,,,P,P,,50,,
RBC Capital Markets LLC,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
RBC Wealth Management,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,100,
RBS Securities Inc.,"Stamford, CT",F,F,F,F,F,,F,F,P,,85,75,
Re:Sources USA Inc.,"Long Island City, NY",F,F,F,F,F,F,F,F,F,,100,100,
Realogy Holdings Corp.,"Madison, NJ",F,F,F,F,F,,F,F,P,,85,75,488
Recreational Equipment Inc.,"Kent, WA",F,F,F,F,F,F,F,F,P,,95,95,
Redfin Corp.,"Seattle, WA",F,F,F,F,F,F,,F,P,,85,,
Reed Smith LLP,"Pittsburgh, PA",F,F,F,F,F,F,F,F,F,,100,100,
Regal Entertainment Group,"Knoxville, TN",F,F,F,F,F,,F,F,P,,85,85,757
Regions Financial Corp.,"Birmingham, AL",F,F,F,F,F,,F,F,P,,85,85,479
Reinsurance Group of America Inc.,"Chesterfield, MO",P,P,,,,,,,,,20,20,273
Reliance Steel & Aluminum Co.,"Los Angeles, CA",P,,,,,,,,,,10,10,283
Replacements Ltd.,"McLeansville, NC",F,F,F,F,F,F,F,F,F,,100,100,
Republic Services Inc.,"Phoenix, AZ",F,F,F,F,F,,F,F,P,,85,80,323
Reynolds American Inc.,"Winston-Salem, NC",F,F,F,F,F,,F,P,F,,85,80,337
Rite Aid Corp.,"Camp Hill, PA",F,F,F,F,F,,,F,,,65,65,117
Robert Half,"Menlo Park, CA",F,F,F,F,F,F,F,F,F,,100,85,552
Robert W. Baird & Co. Incorporated,"Milwaukee, WI",F,F,F,F,F,F,F,F,P,,95,95,
Robins Kaplan LLP,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,100,
Rockland Trust Co.,"Rockland, MA",F,F,F,F,F,F,F,F,F,,100,100,
Rockwell Automation Inc.,"Milwaukee, WI",F,F,F,F,F,F,F,F,F,,100,100,409
Rockwell Collins Inc.,"Cedar Rapids, IA",F,F,F,F,F,F,F,F,F,,100,100,507
Rolls-Royce North America (USA) Holdings Co.,"Reston, VA",F,F,F,F,F,F,,F,P,,85,60,
Ropes & Gray LLP,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,
Rosetta LLC,"Hamilton, NJ",F,F,F,F,F,,,F,P,,75,75,
Ross Stores Inc.,"Dublin , CA",F,F,F,F,F,F,F,,F,,90,80,269
Royal Caribbean Cruises Ltd.,"Miami, FL",F,F,F,F,F,F,F,F,F,,100,100,
Ryder System Inc.,"Miami, FL",F,F,F,F,F,,F,F,P,,85,85,407
"Ryland Group Inc., The","Calabasas, CA",P,,,,P,,,,,,15,15,830
S&P Global Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,500
S.C. Johnson & Son Inc.,"Racine, WI",F,F,F,F,F,F,F,F,F,,100,100,
Saatchi & Saatchi North America Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Sabre Holdings Inc.,"Southlake, TX",F,F,F,F,P,,,F,P,,65,65,763
Salesforce,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,95,483
Sanderson Farms Inc.,"Laurel, MS",F,F,F,F,F,,,,,,55,,803
SanDisk Corp.,"Milpitas, CA",P,P,,,,,,,,,20,20,408
Sanmina-SCI,"San Jose, CA",,,,,,,,,,,0,0,432
Sanofi,"Bridgewater, NJ",F,F,F,F,F,F,F,F,F,,100,95,
SAP America Inc.,"Newtown Square, PA",F,F,F,F,F,F,F,F,F,,100,100,
Sapient Corp.,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,90,
Saul Ewing LLP,"Philadelphia, PA",F,F,F,F,F,F,F,F,P,,95,85,
Sbe,"Los Angeles, CA",F,F,,F,F,,F,P,P,,75,75,
Schiff Hardin LLP,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Scholastic Corp.,"New York, NY",F,F,F,F,F,,,F,P,,75,65,
"Schulte, Roth & Zabel LLP","New York, NY",F,F,F,F,F,F,F,F,P,,95,85,
Seaboard Corp.,"Shawnee Mission, KS",P,P,,,,,,,,,20,20,417
Seagate Technology LLC,"Scotts Valley, CA",P,P,,F,P,,,F,,,45,45,
Sealed Air Corp.,"Elmwood Park, NJ",P,P,,,,,,,,,20,20,366
Sears Holdings Corp.,"Hoffman Estates, IL",F,F,F,F,F,F,F,F,F,,100,100,99
Sedgwick LLP,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,
Selective Insurance Group,"Branchville, NJ",P,P,F,F,P,,,F,P,,55,55,998
Sempra Energy,"San Diego, CA",F,F,F,F,F,F,F,F,F,,100,100,270
Severn Trent Services Inc.,"Fort Washington, PA",P,P,,F,P,,,,,,35,35,
Seyfarth Shaw LLP,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Shearman & Sterling LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Shell Oil Co.,"Houston, TX",F,F,F,F,F,F,F,F,F,,100,100,
"Sheppard, Mullin, Richter & Hampton LLP","Los Angeles, CA",F,F,F,F,F,F,F,F,F,,100,100,
"Sherwin-Williams Co., The","Cleveland, OH",P,P,,,,,,,,,20,20,266
"Shook, Hardy & Bacon LLP","Kansas City, MO",F,F,F,F,F,F,F,F,F,,100,100,
Sidley Austin LLP,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Siemens,"Malvern, PA",F,F,F,F,F,F,,F,F,,90,,
Simpson Thacher & Bartlett LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
SIRIUS XM Radio Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
"Skadden, Arps, Slate, Meagher & Flom LLP","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
SkyWest Airlines Inc.,"St. George, UT",F,F,F,F,F,,F,F,F,,90,90,
Slalom,"Seattle, WA",F,F,F,F,F,F,F,F,F,,100,100,
SLM Corp. (Sallie Mae),"Newark, DE",P,,,F,P,,,F,,,35,35,
Snell & Wilmer,"Phoenix, AZ",F,F,F,F,F,F,F,F,F,,100,85,
Sodexo Inc.,"Gaithersburg, MD",F,F,F,F,F,F,F,F,F,,100,100,
Software AG USA Inc.,"Reston, VA",P,P,F,F,F,,,F,P,,60,60,
Software House International,"Somerset, NJ",P,,,,,,,,,,10,10,
Sonic Automotive Inc.,"Charlotte, NC",,,,,,,,,,,0,0,315
Sonoco Products Company,"Hartsville, SC",F,F,F,F,F,,,F,F,,80,,516
Sony Computer Entertainment America LLC,"Foster City, CA",F,F,,F,F,F,F,F,,,80,80,
Sony Corporation of America,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Sony Electronics Inc.,"San Diego, CA",F,F,F,F,F,F,F,F,F,,100,100,
Sony Pictures Entertainment Inc.,"Culver City, CA",F,F,F,F,F,F,F,F,F,,100,100,
Southern California Edison Co.,"Rosemead, CA",F,F,F,F,F,F,F,F,F,,100,100,
Southern Co.,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,85,163
Southwest Airlines Co.,"Dallas, TX",F,F,F,F,F,F,F,F,F,,100,100,161
SpartanNash,"Grand Rapids, MI",,,,,,,,,,,10,,359
Spectra Energy Corp.,"Houston, TX",F,F,F,F,F,,F,F,P,,85,85,449
Spirit AeroSystems Holdings,"Wichita, KS",,,,,,,,,,,0,,396
Sprint Corp.,"Overland Park, KS",F,F,F,F,F,F,F,F,F,,100,100,
Squire Patton Boggs,"Cleveland, OH",F,F,F,F,F,F,F,F,F,,100,100,
SRA International Inc.,"Fairfax, VA",F,F,F,F,F,,,F,F,,80,80,
St. Jude Medical Inc.,"St. Paul, MN",F,F,F,F,F,F,F,F,P,,95,95,466
Standard Insurance Company,"Portland, OR",F,F,F,F,F,F,F,F,F,,100,90,
Stanley Black & Decker Inc.,"New Britain, CT",F,F,F,,P,,,,P,,45,45,261
Staples Inc.,"Framingham, MA",F,F,F,F,F,F,F,F,F,,100,100,133
Starbucks Corp.,"Seattle, WA",F,F,F,F,F,F,F,F,F,,100,100,187
Starcom,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,,
Starwood Hotels & Resorts Worldwide,"Stamford, CT",F,F,F,F,F,F,F,F,F,,100,100,442
State Farm Group,"Bloomington, IL",F,F,F,F,F,F,F,F,F,,100,100,41
State Street Corp.,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,100,278
Steel Dynamics Inc.,"Fort Wayne, IN",P,P,,,,,,,,,20,20,326
Steelcase Inc.,"Grand Rapids, MI",F,F,F,F,F,F,F,F,F,,100,100,759
Steptoe & Johnson LLP,"Washington, DC",F,F,F,F,F,F,,F,P,,85,85,
Stinson Leonard Street LLP,"Kansas City, MO",F,F,F,F,F,,F,F,F,,90,85,
Stoel Rives LLP,"Portland, OR",F,F,F,F,F,F,F,F,F,,100,95,
Stryker Corp.,"Kalamazoo, MI",F,F,F,F,F,F,F,F,F,,100,80,300
Subaru of America Inc.,"Cherry Hill, NJ",F,F,F,F,F,F,F,F,F,,100,85,
Sullivan & Cromwell LLP,"New York, NY",F,F,F,F,F,,F,F,P,,85,85,
Sun Life Financial Inc. (US),"Wellesley Hills, MA",F,F,F,F,F,F,F,F,F,,100,100,
SunPower Corp.,"San Jose, CA",F,F,F,F,F,F,,P,P,,75,75,748
SunTrust Banks Inc.,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,100,327
Supervalu Inc.,"Eden Prairie, MN",F,F,,F,F,F,,F,P,,80,80,164
Sutherland Asbill & Brennan LLP,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,100,
Symantec Corp.,"Mountain View, CA",F,F,F,F,F,F,F,F,F,,100,100,405
Synchrony Financial,"Stamford, CT",F,F,F,F,F,F,F,F,F,,100,100,
SYNNEX Corp.,"Fremont, CA",F,F,,F,,,,,,,40,40,220
SYSCO Corp.,"Houston, TX",F,F,F,F,F,,F,F,P,,80,70,61
T. Rowe Price Associates Inc.,"Baltimore, MD",F,F,F,F,F,F,F,F,F,,100,95,620
Tailored Brands Inc.,"Houston, TX",F,F,F,F,F,F,F,P,,,80,20,706
Takeda Pharmaceuticals USA Inc.,"Deerfield, IL",F,F,F,F,F,F,F,F,F,,100,,
Targa Resources Corp.,"Houston, TX",,,,,,,,,,,0,0,329
Target Corp.,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,100,36
TD Ameritrade,"Omaha, NE",F,F,F,F,F,F,F,F,F,,100,100,727
TD Bank N.A.,"Wilmington, DE",F,F,F,F,F,F,F,F,F,,100,100,
TD Securities (USA) LLC,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
TE Connectivity Inc.,"Berwyn, PA",F,F,F,F,F,F,F,F,F,,100,90,
Tech Data Corp.,"Clearwater, FL",F,F,F,F,F,F,F,F,F,,100,100,107
TEGNA Inc.,"McLean, VA",F,F,F,F,F,F,F,F,F,,100,95,441
Tenet Healthcare Corporation,"Dallas, TX",F,F,,F,F,,,P,F,,70,65,170
Tenneco Inc.,"Lake Forest, IL",P,P,,,,,,,,,20,10,341
Terex Corp.,"Westport, CT",P,P,,F,F,,,,,,35,35,377
Tesla Motors Inc.,"Palo Alto, CA",F,F,F,F,F,F,F,F,F,,100,100,717
Tesoro Corp.,"San Antonio, TX",P,P,,F,F,,,,,,40,20,77
Teva Pharmaceutical USA Inc.,"North Wales, PA",F,F,F,F,F,,F,F,P,,85,,
Texas Instruments Inc.,"Dallas, TX",F,F,F,F,F,F,F,F,F,,100,85,233
Textron Inc.,"Providence, RI",F,,F,F,F,,,P,P,,55,55,219
The Advisory Board Co.,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,,
The Bama Companies Inc.,"Tulsa, OK",P,P,F,F,F,F,F,F,P,,85,,
The Cosmopolitan of Las Vegas,"Las Vegas, NV",F,F,F,F,F,F,F,F,F,,100,100,
The Hain Celestial Group Inc.,"Lake Success, NY",F,F,F,F,F,,F,F,F,,90,90,967
Thermo Fisher Scientific Inc.,"Waltham, MA",F,F,F,F,F,F,F,F,F,,100,100,181
Thompson Coburn LLP,"St. Louis, MO",F,F,F,F,F,F,F,F,F,,100,100,
Thompson Hine LLP,"Cleveland, OH",F,F,F,F,F,F,F,F,F,,100,100,
Thomson Reuters,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Thrivent Financial,"Minneapolis, MN",F,F,F,F,F,F,,F,P,,85,85,333
TIAA,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,92
Tiffany & Co.,"New York, NY",F,F,F,F,F,F,F,F,P,,95,95,597
