Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
NYSE,H,Hyatt Hotels Corporation,61.42,$7.46B,2009,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/h,1,0,0,0,0,0,1,0,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,583
NYSE,IBM,International Business Machines Corporation,147.1,$137.09B,n/a,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/ibm,1,0,0,1,0,1,1,0,"Armonk, NY",F,F,F,F,F,F,F,F,F,,100,100,24
NasDaq,INFO,IHS Markit Ltd.,43.9,$18.62B,1996,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/info,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,F,N,F,F,,90,,
NYSE,ITW,Illinois Tool Works Inc.,152.82,$52.59B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/itw,1,0,0,0,0,1,1,0,"Glenview, IL",F,F,F,F,F,N,N,P,P,,65,60,201
NYSE,IR,Ingersoll-Rand plc (Ireland),91.32,$23.16B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/ir,1,0,0,0,0,0,1,0,"Davidson, NC",F,F,F,F,F,F,F,F,F,,100,90,
NYSE,INGR,Ingredion Incorporated,124.25,$8.91B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/ingr,1,0,0,0,1,0,1,0,"Westchester, IL",N,N,N,N,N,N,N,N,N,,0,0,462
NasDaq,NSIT,"Insight Enterprises, Inc.",45.17,$1.62B,1995,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/nsit,1,0,0,0,0,0,1,0,"Tempe, AZ",F,F,F,F,F,N,N,P,P,,65,60,493
NasDaq,INTC,Intel Corporation,39.67,$186.41B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/intc,1,0,0,1,0,1,1,0,"Santa Clara, CA",F,F,F,F,F,F,F,F,F,,100,100,52
NYSE,IP,International Paper Company,57.45,$23.72B,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ip,1,0,0,0,1,0,1,0,"Memphis, TN",P,P,N,F,P,N,N,F,N,,45,25,114
NYSE,IPG,"Interpublic Group of Companies, Inc. (The)",20.82,$8.19B,n/a,Technology,Advertising,http://www.nasdaq.com/symbol/ipg,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,372
NasDaq,INTL,INTL FCStone Inc.,39.53,$739.98M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/intl,1,0,0,0,0,0,1,0,"New York, NY",P,N,N,N,N,N,N,N,N,,10,10,93
NasDaq,INTU,Intuit Inc.,145.65,$37.14B,1993,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/intu,1,0,0,0,0,1,1,0,"Mountain View, CA",F,F,F,F,F,F,F,F,F,,100,100,572
