Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,CEI_Score_2017,CEI_Score_2016,Fortune_1000_Rank,Diff,Reco
NYSE,APD,"Air Products and Chemicals, Inc.",153.46,$33.45B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/apd,1,0,0,0,1,1,1,0,"Allentown, PA",F,F,F,F,F,F,F,F,F,,100,95,284,5,Strong Buy
NasDaq,AMZN,"Amazon.com, Inc.",1002.94,$481.79B,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,1,0,0,0,0,1,1,0,"Seattle, WA",F,F,F,F,F,F,N,F,F,,90,85,29,5,Strong Buy
NYSE,AEP,"American Electric Power Company, Inc.",73.16,$35.98B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aep,1,0,0,1,0,1,1,0,"Columbus, OH",F,F,F,F,F,F,F,F,F,,100,95,184,5,Moderate Buy
NasDaq,LPLA,LPL Financial Holdings Inc.,53,$4.77B,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/lpla,1,0,0,0,0,0,1,0,"Boston, MA",F,F,F,F,F,F,F,F,F,,100,95,,5,Strong Buy
NasDaq,AMAT,"Applied Materials, Inc.",53.94,$57.53B,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat,1,0,0,1,0,0,1,0,"Santa Clara, CA",F,F,F,F,F,F,N,P,F,,85,80,319,5,Strong Buy
NYSE,AIZ,"Assurant, Inc.",95.71,$5.16B,2004,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/aiz,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,N,F,F,F,,90,85,285,5,Moderate Buy
NasDaq,AVGO,Broadcom Limited,247.96,$101.16B,2009,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo,1,0,0,0,0,0,1,0,"Irvine, CA",P,P,N,N,N,N,N,N,N,,20,15,340,5,Strong Buy
NYSE,CE,Celanese Corporation,107.35,$14.76B,2005,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ce,1,0,0,0,1,0,1,0,"Irving, TX",F,F,F,F,F,N,F,F,F,,90,85,395,5,Moderate Buy
NasDaq,MORN,"Morningstar, Inc.",85.63,$3.64B,2005,Finance,Investment Managers,http://www.nasdaq.com/symbol/morn,1,0,0,0,0,0,1,0,"Chicago, IL",F,F,F,F,F,F,N,F,F,,90,85,,5,Not Rated
NYSE,CL,Colgate-Palmolive Company,75.99,$66.94B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/cl,1,0,0,1,0,1,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,95,179,5,Moderate Buy
