Name,Fund Type,AUM (US$ millions),Mgmt Fee %,Exp Ratio %,YTD %,Avg % 3 yr,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco,Other / Qualitative,Shareholder Engagement
CSCCX - Calvert Small Cap Fund C,Equity Mid-sm Cap,280.78,0.8,2.12,2.51,7.9,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CSVIX - Calvert Small Cap Fund I,Equity Mid-sm Cap,280.78,0.8,0.91,3.37,9.22,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CSCYX - Calvert Small Cap Fund Y,Equity Mid-sm Cap,280.78,0.8,1.12,3.28,9.03,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,Yes
CTTLX - Calvert Tax-Free Bond Fund A,Bond (Fixed Inc),147.74,0.47,0.8,4.41,2.48,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CTTCX - Calvert Tax-Free Bond Fund C,Bond (Fixed Inc),147.74,0.35,0.8,3.91,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CTTIX - Calvert Tax-Free Bond Fund I,Bond (Fixed Inc),147.74,0.35,0.45,4.66,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CTTYX - Calvert Tax-Free Bond Fund Y,Bond (Fixed Inc),147.74,0.35,0.55,4.6,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CSXAX - Calvert U.S. Large Cap Core Responsible Index Fund A,Equity Large Cap,922.6,0.27,0.68,11.54,9.05,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,Yes,Yes
CSXCX - Calvert U.S. Large Cap Core Responsible Index Fund C,Equity Large Cap,922.6,0.27,1.44,11.01,8.23,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,Yes,Yes
CISIX - Calvert U.S. Large Cap Core Responsible Index Fund I,Equity Large Cap,922.6,0.27,0.2,11.81,9.46,C,C,C,C,C,C,C,C,C,C,R,R,R,R,R,Yes,Yes
