Name,Fund Type,Avg % 3 yr,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco
ESGMX - Mirova Global Sustainable Equity Fund - Class A,Int'l Global,0,3,9,7,7,3,5,7,1,7,7,1,1,1,1,1
ESGYX - Mirova Global Sustainable Equity Fund - Class Y,Int'l Global,0,3,5,7,7,3,5,7,1,7,7,5,1,5,7,5
NBSRX - Neuberger Berman Socially Resp Inv,Equity Large Cap,7.93,7,7,7,3,3,3,3,9,3,3,9,5,9,9,9
NRARX - Neuberger Berman Socially Resp R3,Equity Large Cap,7.47,7,7,3,3,3,3,3,9,3,3,9,5,9,9,9
NBSTX - Neuberger Berman Socially Resp Tr,Equity Large Cap,7.77,7,7,7,3,3,3,3,9,3,3,9,5,9,9,9
NRAAX - Neuberger Berman Socially Responsive A,Equity Large Cap,7.74,7,7,7,3,3,3,3,9,3,3,9,5,9,9,9
NRACX - Neuberger Berman Socially Responsive C,Equity Large Cap,6.93,7,7,7,3,3,3,3,9,3,3,9,5,9,9,9
NBSLX - Neuberger Berman Socially Responsive I,Equity Large Cap,8.14,7,7,7,3,3,3,3,3,3,3,9,5,9,9,9
PAFSX - Parnassus Asia Fund,Int'l Global,3.64,3,3,3,3,3,3,3,5,3,3,5,3,5,5,5
PRBLX - Parnassus Core Equity Fund,Equity Large Cap,7.68,3,3,3,3,3,3,3,5,3,3,5,3,5,5,5
PARWX - Parnassus Endeavor Fund,Equity Specialty,14.05,4,3,3,3,3,3,3,5,3,3,5,3,5,5,5
PRFIX - Parnassus Fixed Income Fund,Bond (Fixed Inc),2.37,3,3,3,3,3,3,3,5,3,3,5,3,5,5,5
PARNX - Parnassus Fund,All Cap,8.54,3,3,3,3,3,3,3,5,3,3,5,3,5,5,5
PARMX - Parnassus Mid Cap Fund,Equity Mid-Sm Cap,9.37,3,3,3,3,3,3,3,5,3,3,5,3,5,5,5
PAXWX - Pax Balanced Fund - Individual Investor,Balanced,4.91,7,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PAXIX - Pax Balanced Fund - Institutional Investor,Balanced,5.17,7,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PAXBX - Pax Core Bond fund Individual,Bond (Fixed Inc),0,1,1,7,7,7,7,7,5,7,7,7,7,5,1,9
PXBIX - Pax Core Bond fund Institutional,Bond (Fixed Inc),0,1,1,7,7,7,7,7,5,7,7,7,7,5,1,9
PXWEX - Pax Ellevate Global Women's Index Fund - Individual Investor,Equity Specialty,6.22,7,7,7,7,7,7,7,1,7,7,1,1,5,1,5
PXWIX - Pax Ellevate Global Women's Index Fund - Institutional Class,Equity Specialty,6.45,7,7,7,7,7,7,7,1,7,7,1,1,5,1,5
PAXDX - Pax ESG Beta Dividend Fund Individual,Equity Large Cap,0,1,1,7,1,7,7,7,5,7,7,7,7,5,1,9
PXDIX - Pax ESG Beta Dividend Fund Institutional,Equity Large Cap,0,1,1,7,1,7,7,7,5,7,7,7,7,5,1,9
PXGAX - Pax ESG Beta Quality Fund - Class A,Equity Large Cap,7.81,8,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PXWGX - Pax ESG Beta Quality Fund - Individual Investor,Equity Large Cap,7.82,7,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PWGIX - Pax ESG Beta Quality Fund - Institutional Investor,Equity Large Cap,8.08,7,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PGRNX - Pax Global Environmental Markets Fund - Individual Investor,Int'l Global,7.14,8,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PGINX - Pax Global Environmental Markets Fund - Institutional Class,Int'l Global,7.39,8,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PXEAX - Pax Global Environmental Markets Fund A,Int'l Global,7.1,8,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PAXHX - Pax High Yield Bond Fund - Individual Investor,Bond (Fixed Inc),1.92,7,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PXHIX - Pax High Yield Bond Fund - Institutional Investor,Bond (Fixed Inc),2.21,7,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PXHAX - Pax High Yield Bond Fund A,Bond (Fixed Inc),2.01,7,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PAXLX - Pax Large Cap Fund Individual,Equity Large Cap,0,1,1,7,7,7,7,7,5,7,7,7,7,5,1,9
PXLIX - Pax Large Cap Fund Intitutional,Equity Large Cap,0,1,1,7,7,7,7,7,5,7,7,7,7,5,1,9
PWMDX - Pax Mid Cap Fund Individual,Equity Mid-Sm Cap,0,1,1,7,7,7,7,7,5,7,7,7,7,5,1,9
PMIDX - Pax Mid Cap Fund Institutional,Equity Mid-Sm Cap,0,1,1,7,7,7,7,7,5,7,7,7,7,5,1,9
PXINX - Pax MSCI EAFE ESG Leaders Index Fund - Individual Investor,Int'l Global,2.45,7,7,7,7,7,7,7,1,7,7,1,1,5,1,5
PXNIX - Pax MSCI EAFE ESG Leaders Index Fund - Institutional Class,Int'l Global,2.7,7,7,7,7,7,7,7,1,7,7,1,1,5,1,5
PXSCX - Pax Small Cap Fund - Individual Investor,Equity Mid-Sm Cap,4.55,7,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PXSIX - Pax Small Cap Fund - Institutional Class,Equity Mid-Sm Cap,4.82,7,7,7,7,7,7,7,5,7,7,7,7,9,7,9
