Fund Type,Name,AUM (US$ millions),YTD %,Avg % 1 yr,Avg % 3 yr,Avg % 5 yr,Avg % 10 yr,RTN% Prev Yr,Mgmt Fee %,Exp Ratio %
Bond (Fixed Inc),CTTCX - Calvert Tax-Free Bond Fund C,147.74,3.91,-0.58,0,0,0,-1.25,0.35,0.8
Bond (Fixed Inc),CTTIX - Calvert Tax-Free Bond Fund I,147.74,4.66,0.55,0,0,0,-0.14,0.35,0.45
Bond (Fixed Inc),CTTYX - Calvert Tax-Free Bond Fund Y,147.74,4.6,0.46,0,0,0,-0.17,0.35,0.55
Equity Large Cap,CSXAX - Calvert U.S. Large Cap Core Responsible Index Fund A,922.6,11.54,15.47,9.05,14.03,7.1,10.34,0.27,0.68
Equity Large Cap,CSXCX - Calvert U.S. Large Cap Core Responsible Index Fund C,922.6,11.01,14.58,8.23,13.13,6.15,9.53,0.27,1.44
Equity Large Cap,CISIX - Calvert U.S. Large Cap Core Responsible Index Fund I,922.6,11.81,15.81,9.46,14.55,7.63,10.7,0.27,0.2
Equity Large Cap,CISYX - Calvert U.S. Large Cap Core Responsible Index Fund Y,922.6,11.76,15.73,9.29,14.19,0,10.6,0.27,0.46
Equity Large Cap,CGJAX - Calvert U.S. Large Cap Growth Responsible Index Fund A,57.74,17.95,17.42,0,0,0,4.03,0.27,0.57
Equity Large Cap,CGJCX - Calvert U.S. Large Cap Growth Responsible Index Fund C,57.74,17.39,16.63,0,0,0,3.3,0.27,1.32
Equity Large Cap,CGJIX - Calvert U.S. Large Cap Growth Responsible Index Fund I,57.74,18.22,17.86,0,0,0,4.44,0.27,0.22
Equity Large Cap,CGJYX - Calvert U.S. Large Cap Growth Responsible Index Fund Y,57.74,18.13,17.72,0,0,0,4.35,0.27,0.32
Equity Large Cap,CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A,120.44,5.33,13.38,0,0,0,16.78,0.27,0.57
Equity Large Cap,CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C,120.44,4.88,12.63,0,0,0,15.93,0.27,1.32
Equity Large Cap,CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I,120.44,5.6,13.76,0,0,0,17.2,0.27,0.22
Equity Large Cap,CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y,120.44,5.56,13.64,0,0,0,17.02,0.27,0.32
Bond (Fixed Inc),CULAX - Calvert Ultra-Short Income Fund A,900.76,0.97,1.47,0.98,1.04,2.25,1.9,0.38,0.77
Bond (Fixed Inc),CULIX - Calvert Ultra-Short Income Fund I,900.76,1.25,1.81,1.36,0,0,2.22,0.38,0.5
Bond (Fixed Inc),CULYX - Calvert Ultra-Short Income Fund Y,900.76,1.22,1.77,1.24,1.28,0,2.15,0.38,0.52
Bond (Fixed Inc),CUBAX - Calvert Unconstrained Bond Fund A,106.88,2.54,3.92,0,0,0,6.24,0.47,1.1
Bond (Fixed Inc),CUBCX - Calvert Unconstrained Bond Fund C,106.88,1.98,3.11,0,0,0,5.45,0.47,1.85
Bond (Fixed Inc),CUBIX - Calvert Unconstrained Bond Fund I,106.88,2.87,4.42,0,0,0,6.73,0.47,0.65
Bond (Fixed Inc),CUBYX - Calvert Unconstrained Bond Fund Y,106.88,2.78,4.27,0,0,0,6.51,0.47,0.85
Balanced,CCMNX - CCM Alternative Income Fund,32.56,3.86,4.59,1.38,0,0,2.47,0,2.76
All Cap,LCILX - ClearBridge Sustainability Leaders Fund (IS shares),7.43,11.49,14.04,0,0,0,6.06,0.65,0.75
Bond (Fixed Inc),CRAIX - CRA Qualified Investment - CRA,2053.43,2.76,0.16,1.99,1.22,3.32,0.62,0.3,0.91
Bond (Fixed Inc),CRANX - CRA Qualified Investment - Institutional,2053.43,3.17,0.71,2.45,1.68,3.78,0.98,0.3,0.46
Bond (Fixed Inc),CRATX - CRA Qualified Investment - Retail,2053.43,3.14,0.56,2.17,1.39,3.45,0.73,0.3,0.81
Int'l Global,DOMAX - Domini International Social Equity Fund -- A shares,1091.09,19.56,20.1,5.71,11.31,2.21,3.12,0.94,1.53
Int'l Global,DOMOX - Domini International Social Equity Fund -- Institutional shares,1091.09,19.68,20.58,6.15,0,0,3.61,0.94,1.1
Int'l Global,DOMIX - Domini International Social Equity Fund -- Investor shares,1091.09,19.64,20.25,5.75,11.33,2.05,3.05,0.94,1.52
Bond (Fixed Inc),DSBFX - Domini Social Bond Fund - Investor shares,151.51,3.78,0.43,2.42,1.7,3.57,3.43,0.32,0.93
Bond (Fixed Inc),DSBIX - Domini Social Bond Fund -- Institutional shares,151.51,3.99,0.72,2.66,1.92,0,3.65,0.32,0.63
Equity Large Cap,DSEPX - Domini Social Equity Fund -- A shares,857.85,8.08,13.51,3.74,10.71,5.59,11.21,0.24,1.18
Bond (Fixed Inc),DIEQX - Domini Social Equity Fund -- Institutional shares,857.85,8.3,13.98,4.14,11.14,6.48,11.66,0.24,0.8
Equity Large Cap,DSEFX - Domini Social Equity Fund -- Investor shares,857.85,8.08,13.6,3.77,10.72,6.07,11.24,0.24,1.14
Equity Large Cap,DSFRX - Domini Social Equity Fund -- R shares,857.85,8.24,13.86,4.09,11.07,6.42,11.55,0.24,0.82
All Cap,SRIAX - Gabelli ESG Fund Inc A,67.02,8.03,8.09,6.22,10.01,6.82,10.4,1,1.68
