Fund Type,Name,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco
Equity Mid-Sm Cap,PWMDX - Pax Mid Cap Fund Individual,--,--,C,C,C,C,C,R,C,C,C,C,R,--,X
Equity Mid-Sm Cap,PMIDX - Pax Mid Cap Fund Institutional,--,--,C,C,C,C,C,R,C,C,C,C,R,--,X
Int'l Global,PXINX - Pax MSCI EAFE ESG Leaders Index Fund - Individual Investor,C,C,C,C,C,C,C,--,C,C,--,--,R,--,R
Int'l Global,PXNIX - Pax MSCI EAFE ESG Leaders Index Fund - Institutional Class,C,C,C,C,C,C,C,--,C,C,--,--,R,--,R
Equity Mid-Sm Cap,PXSCX - Pax Small Cap Fund - Individual Investor,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Equity Mid-Sm Cap,PXSIX - Pax Small Cap Fund - Institutional Class,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Equity Mid-Sm Cap,PXSAX - Pax Small Cap Fund A,C,C,C,C,C,C,C,R,C,C,C,C,X,C,X
Int'l Global,PORTX/ - Portfolio 21 Global Equity Fund,R *,C,R,X,C,C,C,--,--,--,--,R,R,R,R
Int'l Global,PORIX - Portfolio 21 Institutional,P *,P,P,P,R,R,R,C,P,R,R,R,R,R,R
Balanced,MBAPX - Praxis Genesis Balanced A,P,P,P,P,P,P,P,--,P,P,X,--,X,X,X
Balanced,MCONX - Praxis Genesis Conservative A,P,P,P,P,P,P,P,--,P,P,X,--,X,X,X
Balanced,MGAFX - Praxis Genesis Growth A,P,P,P,P,P,P,P,--,P,P,X,--,X,X,X
Equity Large Cap,MMDEX - Praxis Growth Index Fund - Institutional,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X
Equity Large Cap,MGNDX - Praxis Growth Index Fund A,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X
Bond (Fixed Inc),MIIIX - Praxis Intermediate Income - Institutional,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X
Bond (Fixed Inc),MIIAX - Praxis Intermediate Income A,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X
Int'l Global,MPLAX - Praxis International Index A,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X
Equity Specialty,MPLIX - Praxis International Index Fund - Institutional,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X
Equity Mid-Sm Cap,MMSIX - Praxis Small Cap Fund - Institutional,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X
Equity Mid-Sm Cap,MMSCX - Praxis Small Cap Fund A,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X
Equity Large Cap,MVIIX - Praxis Value Index - Institutional,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X
Equity Large Cap,MVIAX - Praxis Value Index A,--,--,P,P,P,P,P,--,--,--,X,R,X,X,X
Bond (Fixed Inc),SEBFX - Saturna Sustainable Bond Fund,C *,C,C,C,C,C,C,--,C,C,X,C,C,X,X
Int'l Global,SEEFX - Saturna Sustainable Equity Fund,C *,C,C,C,C,C,C,--,C,C,X,C,C,X,X
Equity Large Cap,MYPVX - Sentinel Sustainable Core Opportunities Fund (A Shares),P,P,P,--,P,P,P,--,P,P,R,R,R,R,R
Equity Large Cap,CVALX - Sentinel Sustainable Core Opportunities Fund (I Shares),P,P,P,P,P,P,P,--,P,P,R,R,R,R,R
All Cap,NEXTX - Shelton Green Alpha Fund,C *,C,C,C,C,C,C,X,C,C,C,C,C,X,X
Bond (Fixed Inc),TSBIX - TIAA-CREF Social Choice Bond Institutional,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R
Bond (Fixed Inc),TSBPX - TIAA-CREF Social Choice Bond Premier,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R
Bond (Fixed Inc),TSBRX - TIAA-CREF Social Choice Bond Retail,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R
Bond (Fixed Inc),TSBBX - TIAA-CREF Social Choice Bond Retirement,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R
Equity Specialty,TISCX - TIAA-CREF Social Choice Equity Institutional,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R
Equity Specialty,TRPSX - TIAA-CREF Social Choice Equity Premier,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R
Equity Specialty,TICRX - TIAA-CREF Social Choice Equity Retail,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R
Equity Specialty,TRSCX - TIAA-CREF Social Choice Equity Retirement,P,P,P,P,P,P,P,X,P,P,R,--,R,R,R
Equity Mid-Sm Cap,TSMDX - Trillium Small/Mid Cap Mutual Fund,C,C,C,--,C,C,C,C,C,C,--,C,C,C,X
Int'l Global,BNIEX - UBS International Sustainable Equity Fund,C,C,C,C,C,C,C,R,C,C,X,C,X,X,X
Balanced,WSBFX - Walden Asset Management Fund,C,C,C,C,C,R,C,--,--,--,R,R,R,R,R
Equity Large Cap,WSEFX - Walden Equity Fund,C,C,C,C,C,R,C,--,--,--,R,R,R,R,R
Equity Mid-Sm Cap,WAMFX - Walden Midcap Fund,C,C,C,C,C,R,C,--,--,--,R,R,R,R,R
Equity Mid-Sm Cap,WASOX - Walden Small Cap Innovations Fund,P,P,P,P,P,R,P,--,--,--,R,R,R,R,R
Equity Mid-Sm Cap,WASMX - Walden SMID Cap Innovations Fund,P,P,P,P,P,R,P,--,--,--,R,C,R,R,R
