"Name","Fund Type","Attribute Type","Attribute","Rating","Count","Avg % 3 yr","Avg % 1 yr","Avg % 5 yr","Avg % 10 yr","Mgmt Fee %","Exp Ratio %","AUM (US$ millions)"
"ARDFX - Ariel Discovery Fund","Equity Specialty","Social","Sudan","X",1,-3.99,9.44,2.64,0.00,0.80,1.25,38.59
"ARFFX - Ariel Focus Fund","All Cap","Environmental","Climate/Clean Technology","--",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Environmental","Environment","P",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Environmental","Pollution/Toxics","--",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Governance","Board Issues","P",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Governance","Executive Pay","--",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Products","Alcohol","--",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Products","Animal Welfare","--",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Products","Defense/Weapons","X",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Products","Gambling","--",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Products","Tobacco","X",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Social","Community Development","P",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Social","Diversity & EEO","P",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Social","Human Rights","--",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Social","Labor Relations","--",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARFFX - Ariel Focus Fund","All Cap","Social","Sudan","X",1,2.43,12.92,11.41,4.80,0.65,1.00,53.62
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Environmental","Climate/Clean Technology","--",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Environmental","Environment","P",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Environmental","Pollution/Toxics","--",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Governance","Board Issues","P",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Governance","Executive Pay","--",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Products","Alcohol","--",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Products","Animal Welfare","--",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Products","Defense/Weapons","X",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Products","Gambling","--",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
